frq,I,Q,Mdiv,Ref,dac,Kdiv,I_offset,Q_offset,Z_real,Z_imag,Z_mag,Z_angle
131328.0,-233.0,-16626.0,1082130432,32768,128,1,-325.89115646258506,-17914.190476190477,34.353530833916054,-1576.7628853981528,1577.1370776980245,-88.75187259348444
131328.0,-755.0,-16425.0,1082130432,32768,128,1,-847.8911564625851,-17713.190476190477,16.822944719445463,-1501.0012537642083,1501.0955250318877,-89.35786637581218
131328.0,-1162.0,-15917.0,1082130432,32768,128,1,-1254.891156462585,-17205.190476190477,2.2723837103952462,-1410.3054997108216,1410.3073304221025,-89.90768107804035
131328.0,334.0,-17064.0,1082130432,32768,128,1,241.10884353741497,-18352.190476190477,53.94697748047145,-1678.8321867850061,1679.698719343622,-88.15951174806905
131328.0,746.0,-17557.0,1082130432,32768,128,1,653.1088435374149,-18845.190476190477,68.62295614705724,-1768.7298905595221,1770.0606023153728,-87.77816005167105
131328.0,-1099.0,-17265.0,1082130432,32768,128,1,-1191.891156462585,-18553.190476190477,7.712092918797254,-1538.6218885568292,1538.6412162435308,-89.71281659363245
131328.0,40.0,-16318.0,1082130432,32768,128,1,-52.89115646258503,-17606.190476190477,42.484469142049626,-1579.1932446779003,1579.7646135277864,-88.45896390960395
131328.0,-894.0,-17108.0,1082130432,32768,128,1,-986.8911564625851,-18396.190476190477,14.004266714672823,-1547.1342894788795,1547.1976697137095,-89.48138731704361
131328.0,-425.0,-17883.0,1082130432,32768,128,1,-517.8911564625851,-19171.190476190477,31.24750138485738,-1668.7165463780955,1669.0090828089687,-88.9272349821446
131328.0,-831.0,-15858.0,1082130432,32768,128,1,-923.8911564625851,-17146.190476190477,12.920330778290769,-1441.5599857479838,1441.617885383345,-89.48648643875
131328.0,-1155.0,-16561.0,1082130432,32768,128,1,-1247.891156462585,-17849.190476190477,4.117800617735419,-1469.0563242255764,1469.0620953618977,-89.839398956676
131328.0,-536.0,-16611.0,1082130432,32768,128,1,-628.8911564625851,-17899.190476190477,24.43303290666769,-1541.9395899031526,1542.1331563803824,-89.09218718565444
131328.0,-294.0,-15375.0,1082130432,32768,128,1,-386.89115646258506,-16663.190476190477,29.222624350542432,-1457.4000791101205,1457.693024050029,-88.85130464122192
131328.0,817.0,-18391.0,1082130432,32768,128,1,724.1088435374149,-19679.190476190477,73.03293094356535,-1851.656065871314,1853.095786860528,-87.74131334499958
131328.0,-860.0,-16664.0,1082130432,32768,128,1,-952.8911564625851,-17952.190476190477,13.998335946993922,-1510.9182416313272,1510.9830860415302,-89.46918198427349
