frq I Q
4104.00 -14047.00 13342.00
131328.00 290.00 -1090.00
4104.00 -14025.00 13294.00
131328.00 312.00 -1123.00
4104.00 -14072.00 13163.00
131328.00 313.00 -1106.00
4104.00 -14209.00 13446.00
131328.00 346.00 -1141.00
4104.00 -14188.00 13286.00
131328.00 302.00 -1092.00
4104.00 -14192.00 13458.00
131328.00 379.00 -1145.00
4104.00 -14217.00 13343.00
131328.00 335.00 -1098.00
4104.00 -14036.00 13314.00
131328.00 313.00 -1113.00
4104.00 -14072.00 13356.00
131328.00 287.00 -1093.00
4104.00 -14195.00 13456.00
131328.00 361.00 -1114.00
4104.00 -14063.00 13356.00
131328.00 302.00 -1066.00
4104.00 -14055.00 13340.00
131328.00 150.00 -946.00
4104.00 -14112.00 13352.00
131328.00 312.00 -1108.00
4104.00 -14060.00 13349.00
131328.00 297.00 -1118.00
4104.00 -14208.00 13414.00
131328.00 411.00 -1164.00
4104.00 -14046.00 13356.00
131328.00 363.00 -1114.00
4104.00 -14181.00 13458.00
131328.00 298.00 -1103.00
4104.00 -14035.00 13330.00
131328.00 307.00 -1117.00
4104.00 -14196.00 13291.00
131328.00 315.00 -1063.00
4104.00 -14119.00 13319.00
131328.00 318.00 -1062.00
4104.00 -14102.00 13398.00
131328.00 286.00 -1072.00
4104.00 -14084.00 13196.00
131328.00 357.00 -1157.00
4104.00 -14090.00 13384.00
131328.00 296.00 -1073.00
4104.00 -14030.00 13316.00
131328.00 240.00 -1002.00
4104.00 -14185.00 13452.00
131328.00 351.00 -1121.00
4104.00 -14062.00 13340.00
131328.00 250.00 -1027.00
4104.00 -14033.00 13294.00
131328.00 323.00 -1102.00
4104.00 -14192.00 13456.00
131328.00 409.00 -1181.00
4104.00 -14166.00 13456.00
131328.00 335.00 -1147.00
4104.00 -14147.00 13438.00
131328.00 302.00 -1088.00
4104.00 -14212.00 13306.00
131328.00 223.00 -1003.00
4104.00 -14199.00 13459.00
131328.00 345.00 -1140.00
4104.00 -14045.00 13343.00
131328.00 249.00 -1032.00
4104.00 -14174.00 13447.00
131328.00 382.00 -1171.00
4104.00 -14108.00 13402.00
131328.00 356.00 -1152.00
4104.00 -14190.00 13464.00
131328.00 339.00 -1149.00
4104.00 -14189.00 13458.00
131328.00 326.00 -1090.00
4104.00 -14136.00 13434.00
131328.00 316.00 -1124.00
4104.00 -14199.00 13446.00
131328.00 375.00 -1159.00
4104.00 -14182.00 13462.00
131328.00 408.00 -1169.00
4104.00 -14074.00 13277.00
131328.00 351.00 -1128.00
4104.00 -14056.00 13336.00
131328.00 286.00 -1047.00
4104.00 -14196.00 13445.00
131328.00 378.00 -1161.00
4104.00 -14174.00 13302.00
131328.00 320.00 -1084.00
4104.00 -14146.00 13430.00
131328.00 296.00 -1076.00
4104.00 -14068.00 13361.00
131328.00 247.00 -1029.00
4104.00 -14159.00 13287.00
131328.00 388.00 -1159.00
4104.00 -14070.00 13361.00
131328.00 312.00 -1076.00
4104.00 -14196.00 13312.00
131328.00 324.00 -1109.00
4104.00 -13903.00 13188.00
131328.00 240.00 -1041.00
4104.00 -14023.00 13288.00
131328.00 359.00 -1129.00
4104.00 -14213.00 13343.00
131328.00 310.00 -1081.00
4104.00 -14078.00 13386.00
131328.00 388.00 -1154.00
4104.00 -14201.00 13302.00
131328.00 348.00 -1142.00
4104.00 -14139.00 13432.00
131328.00 360.00 -1143.00
4104.00 -14069.00 13363.00
131328.00 267.00 -1095.00
4104.00 -14202.00 13325.00
131328.00 358.00 -1117.00
4104.00 -14124.00 13282.00
131328.00 290.00 -1080.00
4104.00 -14202.00 13457.00
131328.00 261.00 -1024.00
4104.00 -14044.00 13286.00
131328.00 313.00 -1068.00
4104.00 -14047.00 13330.00
131328.00 321.00 -1099.00
4104.00 -14195.00 13449.00
131328.00 365.00 -1157.00
4104.00 -14194.00 13457.00
