frq I Q Mdiv Clk DAC Kdiv
131328.00 -1948.00 1157.00 1082130432 32768 128 1
4104.00 -11440.00 10766.00 1082130432 32768 128 32
131328.00 -2004.00 1224.00 1082130432 32768 128 1
4104.00 -12014.00 11165.00 1082130432 32768 128 32
131328.00 -1960.00 1165.00 1082130432 32768 128 1
4104.00 -11998.00 11136.00 1082130432 32768 128 32
131328.00 -1954.00 1134.00 1082130432 32768 128 1
4104.00 -11937.00 11101.00 1082130432 32768 128 32
131328.00 -2070.00 1300.00 1082130432 32768 128 1
4104.00 -11922.00 11101.00 1082130432 32768 128 32
131328.00 -2052.00 1288.00 1082130432 32768 128 1
4104.00 -12027.00 11209.00 1082130432 32768 128 32
131328.00 -1948.00 1142.00 1082130432 32768 128 1
4104.00 -11977.00 11156.00 1082130432 32768 128 32
131328.00 -1932.00 1149.00 1082130432 32768 128 1
4104.00 -11783.00 11107.00 1082130432 32768 128 32
131328.00 -2037.00 1241.00 1082130432 32768 128 1
4104.00 -11773.00 11087.00 1082130432 32768 128 32
131328.00 -2032.00 1229.00 1082130432 32768 128 1
4104.00 -11977.00 11114.00 1082130432 32768 128 32
131328.00 -2449.00 1627.00 1082130432 32768 128 1
4104.00 -11920.00 11158.00 1082130432 32768 128 32
131328.00 -1910.00 1127.00 1082130432 32768 128 1
4104.00 -11916.00 11090.00 1082130432 32768 128 32
131328.00 -1969.00 1196.00 1082130432 32768 128 1
4104.00 -11833.00 11176.00 1082130432 32768 128 32
131328.00 -1990.00 1217.00 1082130432 32768 128 1
4104.00 -11964.00 11108.00 1082130432 32768 128 32
131328.00 -2033.00 1263.00 1082130432 32768 128 1
4104.00 -11779.00 11108.00 1082130432 32768 128 32
131328.00 -1966.00 1235.00 1082130432 32768 128 1
4104.00 -12016.00 11183.00 1082130432 32768 128 32
131328.00 -1963.00 1151.00 1082130432 32768 128 1
4104.00 -12024.00 11174.00 1082130432 32768 128 32
131328.00 -2020.00 1227.00 1082130432 32768 128 1
4104.00 -11816.00 11124.00 1082130432 32768 128 32
131328.00 -1941.00 1151.00 1082130432 32768 128 1
4104.00 -11771.00 11082.00 1082130432 32768 128 32
131328.00 -1983.00 1207.00 1082130432 32768 128 1
4104.00 -11710.00 10916.00 1082130432 32768 128 32
131328.00 -1879.00 1132.00 1082130432 32768 128 1
4104.00 -11751.00 11089.00 1082130432 32768 128 32
131328.00 -1898.00 1159.00 1082130432 32768 128 1
4104.00 -11815.00 11110.00 1082130432 32768 128 32
131328.00 -1915.00 1151.00 1082130432 32768 128 1
4104.00 -11813.00 11136.00 1082130432 32768 128 32
131328.00 -1992.00 1225.00 1082130432 32768 128 1
4104.00 -11862.00 11061.00 1082130432 32768 128 32
131328.00 -2060.00 1254.00 1082130432 32768 128 1
4104.00 -12001.00 11169.00 1082130432 32768 128 32
131328.00 -1909.00 1131.00 1082130432 32768 128 1
4104.00 -11864.00 11192.00 1082130432 32768 128 32
131328.00 -1935.00 1172.00 1082130432 32768 128 1
4104.00 -12004.00 11148.00 1082130432 32768 128 32
131328.00 -1941.00 1135.00 1082130432 32768 128 1
4104.00 -12017.00 11195.00 1082130432 32768 128 32
131328.00 -1881.00 1101.00 1082130432 32768 128 1
4104.00 -11899.00 11139.00 1082130432 32768 128 32
131328.00 -1885.00 1133.00 1082130432 32768 128 1
4104.00 -11390.00 10706.00 1082130432 32768 128 32
131328.00 -1925.00 1157.00 1082130432 32768 128 1
4104.00 -11770.00 11073.00 1082130432 32768 128 32
131328.00 -1968.00 1196.00 1082130432 32768 128 1
4104.00 -11809.00 11126.00 1082130432 32768 128 32
131328.00 -2051.00 1262.00 1082130432 32768 128 1
4104.00 -12010.00 11157.00 1082130432 32768 128 32
131328.00 -1906.00 1141.00 1082130432 32768 128 1
4104.00 -11987.00 11164.00 1082130432 32768 128 32
131328.00 -1960.00 1188.00 1082130432 32768 128 1
4104.00 -11928.00 11098.00 1082130432 32768 128 32
131328.00 -2009.00 1212.00 1082130432 32768 128 1
4104.00 -11981.00 11211.00 1082130432 32768 128 32
131328.00 -1891.00 1098.00 1082130432 32768 128 1
4104.00 -11971.00 11114.00 1082130432 32768 128 32
131328.00 -1996.00 1194.00 1082130432 32768 128 1
4104.00 -12021.00 11160.00 1082130432 32768 128 32
131328.00 -1932.00 1168.00 1082130432 32768 128 1
4104.00 -12006.00 11184.00 1082130432 32768 128 32
131328.00 -2281.00 1474.00 1082130432 32768 128 1
4104.00 -11863.00 11206.00 1082130432 32768 128 32
131328.00 -1912.00 1146.00 1082130432 32768 128 1
4104.00 -11850.00 11138.00 1082130432 32768 128 32
131328.00 -2068.00 1309.00 1082130432 32768 128 1
4104.00 -11820.00 11169.00 1082130432 32768 128 32
131328.00 -1952.00 1206.00 1082130432 32768 128 1
4104.00 -11958.00 11132.00 1082130432 32768 128 32
131328.00 -1946.00 1180.00 1082130432 32768 128 1
4104.00 -11819.00 11124.00 1082130432 32768 128 32
131328.00 -2039.00 1251.00 1082130432 32768 128 1
4104.00 -11810.00 11108.00 1082130432 32768 128 32
131328.00 -1997.00 1213.00 1082130432 32768 128 1
4104.00 -11767.00 11083.00 1082130432 32768 128 32
131328.00 -1902.00 1125.00 1082130432 32768 128 1
4104.00 -11711.00 11027.00 1082130432 32768 128 32
131328.00 -1912.00 1176.00 1082130432 32768 128 1
4104.00 -11846.00 11129.00 1082130432 32768 128 32
131328.00 -1869.00 1131.00 1082130432 32768 128 1
4104.00 -11492.00 10776.00 1082130432 32768 128 32
131328.00 -2058.00 1287.00 1082130432 32768 128 1
4104.00 -12005.00 11166.00 1082130432 32768 128 32
131328.00 -1948.00 1133.00 1082130432 32768 128 1
4104.00 -11817.00 11137.00 1082130432 32768 128 32
131328.00 -1961.00 1202.00 1082130432 32768 128 1
4104.00 -11899.00 11172.00 1082130432 32768 128 32
131328.00 -1900.00 1147.00 1082130432 32768 128 1
4104.00 -11883.00 11156.00 1082130432 32768 128 32
131328.00 -1989.00 1215.00 1082130432 32768 128 1
4104.00 -11884.00 11206.00 1082130432 32768 128 32
131328.00 -1902.00 1130.00 1082130432 32768 128 1
4104.00 -11946.00 11116.00 1082130432 32768 128 32
131328.00 -1999.00 1208.00 1082130432 32768 128 1
4104.00 -11967.00 11163.00 1082130432 32768 128 32
131328.00 -1951.00 1157.00 1082130432 32768 128 1
4104.00 -12017.00 11168.00 1082130432 32768 128 32
131328.00 -1969.00 1190.00 1082130432 32768 128 1
4104.00 -12023.00 11210.00 1082130432 32768 128 32
131328.00 -2213.00 1425.00 1082130432 32768 128 1
4104.00 -11915.00 11109.00 1082130432 32768 128 32
131328.00 -2085.00 1305.00 1082130432 32768 128 1
4104.00 -12012.00 11147.00 1082130432 32768 128 32
131328.00 -1976.00 1194.00 1082130432 32768 128 1
4104.00 -11891.00 11221.00 1082130432 32768 128 32
131328.00 -1947.00 1173.00 1082130432 32768 128 1
4104.00 -12012.00 11185.00 1082130432 32768 128 32
131328.00 -1931.00 1159.00 1082130432 32768 128 1
4104.00 -12002.00 11201.00 1082130432 32768 128 32
131328.00 -1948.00 1133.00 1082130432 32768 128 1
4104.00 -11864.00 11147.00 1082130432 32768 128 32
131328.00 -1997.00 1234.00 1082130432 32768 128 1
4104.00 -11864.00 11148.00 1082130432 32768 128 32
131328.00 -2072.00 1282.00 1082130432 32768 128 1
4104.00 -11764.00 11101.00 1082130432 32768 128 32
131328.00 -2013.00 1230.00 1082130432 32768 128 1
4104.00 -11793.00 11096.00 1082130432 32768 128 32
131328.00 -1952.00 1193.00 1082130432 32768 128 1
4104.00 -11704.00 10853.00 1082130432 32768 128 32
131328.00 -1939.00 1166.00 1082130432 32768 128 1
4104.00 -12011.00 11175.00 1082130432 32768 128 32
131328.00 -1951.00 1165.00 1082130432 32768 128 1
4104.00 -11777.00 11105.00 1082130432 32768 128 32
131328.00 -1987.00 1215.00 1082130432 32768 128 1
4104.00 -11874.00 11150.00 1082130432 32768 128 32
131328.00 -1881.00 1115.00 1082130432 32768 128 1
4104.00 -11884.00 11144.00 1082130432 32768 128 32
131328.00 -1906.00 1120.00 1082130432 32768 128 1
4104.00 -12007.00 11179.00 1082130432 32768 128 32
131328.00 -1918.00 1125.00 1082130432 32768 128 1
4104.00 -11965.00 11116.00 1082130432 32768 128 32
131328.00 -1959.00 1161.00 1082130432 32768 128 1
4104.00 -11702.00 11018.00 1082130432 32768 128 32
131328.00 -1947.00 1185.00 1082130432 32768 128 1
4104.00 -11838.00 11153.00 1082130432 32768 128 32
131328.00 -2134.00 1361.00 1082130432 32768 128 1
4104.00 -11717.00 10895.00 1082130432 32768 128 32
131328.00 -1991.00 1200.00 1082130432 32768 128 1
4104.00 -11748.00 11059.00 1082130432 32768 128 32
131328.00 -1927.00 1158.00 1082130432 32768 128 1
4104.00 -11994.00 11143.00 1082130432 32768 128 32
131328.00 -1913.00 1139.00 1082130432 32768 128 1
