frq I Q Mdiv Clk DAC Kdiv
131328.00 1426.00 -2220.00 1082130432 32768 128 1
4104.00 7424.00 -8179.00 1082130432 32768 128 32
131328.00 600.00 -1452.00 1082130432 32768 128 1
4104.00 7667.00 -8461.00 1082130432 32768 128 32
131328.00 508.00 -1280.00 1082130432 32768 128 1
4104.00 7838.00 -8645.00 1082130432 32768 128 32
131328.00 1145.00 -1916.00 1082130432 32768 128 1
4104.00 7913.00 -8783.00 1082130432 32768 128 32
131328.00 1079.00 -1878.00 1082130432 32768 128 1
4104.00 8306.00 -9140.00 1082130432 32768 128 32
131328.00 270.00 -1017.00 1082130432 32768 128 1
4104.00 7944.00 -8736.00 1082130432 32768 128 32
131328.00 1211.00 -1980.00 1082130432 32768 128 1
4104.00 8080.00 -8882.00 1082130432 32768 128 32
131328.00 661.00 -1400.00 1082130432 32768 128 1
4104.00 6873.00 -7678.00 1082130432 32768 128 32
131328.00 474.00 -1219.00 1082130432 32768 128 1
4104.00 7564.00 -8361.00 1082130432 32768 128 32
131328.00 389.00 -1153.00 1082130432 32768 128 1
4104.00 8246.00 -9033.00 1082130432 32768 128 32
131328.00 1208.00 -1962.00 1082130432 32768 128 1
4104.00 6700.00 -7477.00 1082130432 32768 128 32
131328.00 782.00 -1569.00 1082130432 32768 128 1
4104.00 7755.00 -8512.00 1082130432 32768 128 32
131328.00 173.00 -915.00 1082130432 32768 128 1
4104.00 8139.00 -8960.00 1082130432 32768 128 32
131328.00 106.00 -857.00 1082130432 32768 128 1
4104.00 7314.00 -8089.00 1082130432 32768 128 32
131328.00 418.00 -1208.00 1082130432 32768 128 1
4104.00 7194.00 -7986.00 1082130432 32768 128 32
131328.00 222.00 -1017.00 1082130432 32768 128 1
4104.00 7183.00 -7974.00 1082130432 32768 128 32
131328.00 1351.00 -2130.00 1082130432 32768 128 1
4104.00 7075.00 -7892.00 1082130432 32768 128 32
131328.00 24.00 -779.00 1082130432 32768 128 1
4104.00 7706.00 -8552.00 1082130432 32768 128 32
131328.00 1567.00 -2360.00 1082130432 32768 128 1
4104.00 7717.00 -8457.00 1082130432 32768 128 32
131328.00 673.00 -1451.00 1082130432 32768 128 1
4104.00 8230.00 -9021.00 1082130432 32768 128 32
131328.00 1128.00 -1881.00 1082130432 32768 128 1
4104.00 7537.00 -8369.00 1082130432 32768 128 32
131328.00 1318.00 -2095.00 1082130432 32768 128 1
4104.00 8531.00 -9373.00 1082130432 32768 128 32
131328.00 1837.00 -2610.00 1082130432 32768 128 1
4104.00 8448.00 -9211.00 1082130432 32768 128 32
131328.00 -90.00 -687.00 1082130432 32768 128 1
