frq I Q Mdiv Ref dac Kdiv
4104.00 112338.00 53078.00 1082130432 32768 128 32
131328.00 38848.00 -297256.00 1082130432 32768 128 1
4104.00 94651.00 34017.00 1082130432 32768 128 32
131328.00 44319.00 -299058.00 1082130432 32768 128 1
4104.00 102469.00 51503.00 1082130432 32768 128 32
131328.00 45187.00 -300441.00 1082130432 32768 128 1
4104.00 106121.00 57010.00 1082130432 32768 128 32
131328.00 45470.00 -304488.00 1082130432 32768 128 1
4104.00 101825.00 45262.00 1082130432 32768 128 32
131328.00 42030.00 -299017.00 1082130432 32768 128 1
4104.00 102698.00 51419.00 1082130432 32768 128 32
131328.00 48568.00 -292896.00 1082130432 32768 128 1
4104.00 105877.00 48898.00 1082130432 32768 128 32
131328.00 45686.00 -292104.00 1082130432 32768 128 1
4104.00 104433.00 50805.00 1082130432 32768 128 32
131328.00 42537.00 -299241.00 1082130432 32768 128 1
4104.00 104757.00 48084.00 1082130432 32768 128 32
131328.00 41691.00 -299346.00 1082130432 32768 128 1
4104.00 109526.00 52822.00 1082130432 32768 128 32
131328.00 45047.00 -285336.00 1082130432 32768 128 1
4104.00 108382.00 48607.00 1082130432 32768 128 32
131328.00 46487.00 -293825.00 1082130432 32768 128 1
4104.00 102420.00 52138.00 1082130432 32768 128 32
131328.00 40229.00 -299330.00 1082130432 32768 128 1
4104.00 112907.00 56645.00 1082130432 32768 128 32
131328.00 40077.00 -301278.00 1082130432 32768 128 1
4104.00 100379.00 42709.00 1082130432 32768 128 32
131328.00 41280.00 -302351.00 1082130432 32768 128 1
4104.00 104199.00 50919.00 1082130432 32768 128 32
131328.00 38993.00 -296536.00 1082130432 32768 128 1
4104.00 102253.00 41182.00 1082130432 32768 128 32
131328.00 48166.00 -293436.00 1082130432 32768 128 1
4104.00 102981.00 60831.00 1082130432 32768 128 32
131328.00 38799.00 -299044.00 1082130432 32768 128 1
4104.00 104710.00 48303.00 1082130432 32768 128 32
131328.00 41976.00 -300494.00 1082130432 32768 128 1
4104.00 99168.00 45858.00 1082130432 32768 128 32
131328.00 40428.00 -301502.00 1082130432 32768 128 1
4104.00 103151.00 45155.00 1082130432 32768 128 32
131328.00 44663.00 -291607.00 1082130432 32768 128 1
4104.00 102764.00 59398.00 1082130432 32768 128 32
131328.00 43236.00 -299371.00 1082130432 32768 128 1
4104.00 115467.00 51001.00 1082130432 32768 128 32
131328.00 41232.00 -297424.00 1082130432 32768 128 1
4104.00 102766.00 48230.00 1082130432 32768 128 32
131328.00 44453.00 -295465.00 1082130432 32768 128 1
4104.00 105421.00 51559.00 1082130432 32768 128 32
131328.00 36034.00 -299970.00 1082130432 32768 128 1
4104.00 106206.00 58491.00 1082130432 32768 128 32
131328.00 45719.00 -292013.00 1082130432 32768 128 1
4104.00 107838.00 59956.00 1082130432 32768 128 32
131328.00 41083.00 -302959.00 1082130432 32768 128 1
4104.00 104779.00 55697.00 1082130432 32768 128 32
131328.00 42869.00 -290835.00 1082130432 32768 128 1
4104.00 105254.00 59263.00 1082130432 32768 128 32
131328.00 38765.00 -298155.00 1082130432 32768 128 1
4104.00 110388.00 46675.00 1082130432 32768 128 32
131328.00 41290.00 -291457.00 1082130432 32768 128 1
4104.00 99106.00 46788.00 1082130432 32768 128 32
131328.00 45911.00 -302357.00 1082130432 32768 128 1
4104.00 104516.00 58902.00 1082130432 32768 128 32
131328.00 44956.00 -297739.00 1082130432 32768 128 1
4104.00 100890.00 45701.00 1082130432 32768 128 32
131328.00 45650.00 -297082.00 1082130432 32768 128 1
4104.00 102070.00 45998.00 1082130432 32768 128 32
131328.00 44943.00 -297070.00 1082130432 32768 128 1
4104.00 100361.00 50130.00 1082130432 32768 128 32
131328.00 43293.00 -294070.00 1082130432 32768 128 1
4104.00 101854.00 46697.00 1082130432 32768 128 32
131328.00 41960.00 -302439.00 1082130432 32768 128 1
4104.00 105177.00 35539.00 1082130432 32768 128 32
131328.00 39622.00 -303422.00 1082130432 32768 128 1
4104.00 101713.00 43781.00 1082130432 32768 128 32
131328.00 45184.00 -293762.00 1082130432 32768 128 1
4104.00 98047.00 40817.00 1082130432 32768 128 32
131328.00 42129.00 -298893.00 1082130432 32768 128 1
4104.00 100331.00 54545.00 1082130432 32768 128 32
131328.00 41213.00 -299413.00 1082130432 32768 128 1
4104.00 110668.00 53731.00 1082130432 32768 128 32
131328.00 41119.00 -297996.00 1082130432 32768 128 1
4104.00 115651.00 43937.00 1082130432 32768 128 32
131328.00 42004.00 -299207.00 1082130432 32768 128 1
4104.00 109609.00 55975.00 1082130432 32768 128 32
131328.00 36585.00 -300114.00 1082130432 32768 128 1
4104.00 106732.00 52443.00 1082130432 32768 128 32
131328.00 39052.00 -296121.00 1082130432 32768 128 1
4104.00 96764.00 49014.00 1082130432 32768 128 32
131328.00 43684.00 -294137.00 1082130432 32768 128 1
4104.00 109629.00 58123.00 1082130432 32768 128 32
131328.00 42728.00 -299625.00 1082130432 32768 128 1
4104.00 96290.00 48582.00 1082130432 32768 128 32
131328.00 44937.00 -302630.00 1082130432 32768 128 1
4104.00 107764.00 51624.00 1082130432 32768 128 32
131328.00 39658.00 -291157.00 1082130432 32768 128 1
4104.00 104197.00 52483.00 1082130432 32768 128 32
131328.00 47009.00 -295591.00 1082130432 32768 128 1
4104.00 108550.00 46043.00 1082130432 32768 128 32
131328.00 42891.00 -300618.00 1082130432 32768 128 1
4104.00 105775.00 44941.00 1082130432 32768 128 32
131328.00 42961.00 -293154.00 1082130432 32768 128 1
4104.00 99233.00 47461.00 1082130432 32768 128 32
131328.00 45217.00 -296732.00 1082130432 32768 128 1
4104.00 108630.00 52791.00 1082130432 32768 128 32
131328.00 45262.00 -293364.00 1082130432 32768 128 1
4104.00 102456.00 34790.00 1082130432 32768 128 32
131328.00 42837.00 -298087.00 1082130432 32768 128 1
4104.00 102949.00 51992.00 1082130432 32768 128 32
131328.00 44712.00 -301288.00 1082130432 32768 128 1
4104.00 105378.00 45097.00 1082130432 32768 128 32
131328.00 42922.00 -295577.00 1082130432 32768 128 1
4104.00 110246.00 56868.00 1082130432 32768 128 32
131328.00 40535.00 -294104.00 1082130432 32768 128 1
4104.00 103701.00 47101.00 1082130432 32768 128 32
131328.00 42386.00 -296484.00 1082130432 32768 128 1
4104.00 111123.00 45962.00 1082130432 32768 128 32
131328.00 41342.00 -298334.00 1082130432 32768 128 1
4104.00 101713.00 49280.00 1082130432 32768 128 32
131328.00 41559.00 -303252.00 1082130432 32768 128 1
4104.00 99435.00 49175.00 1082130432 32768 128 32
131328.00 41710.00 -302010.00 1082130432 32768 128 1
4104.00 107434.00 50411.00 1082130432 32768 128 32
131328.00 44728.00 -295779.00 1082130432 32768 128 1
4104.00 109141.00 51284.00 1082130432 32768 128 32
131328.00 38614.00 -302681.00 1082130432 32768 128 1
4104.00 104152.00 47062.00 1082130432 32768 128 32
131328.00 43231.00 -299798.00 1082130432 32768 128 1
4104.00 107647.00 60567.00 1082130432 32768 128 32
131328.00 41716.00 -302127.00 1082130432 32768 128 1
4104.00 99842.00 45741.00 1082130432 32768 128 32
131328.00 43871.00 -297597.00 1082130432 32768 128 1
4104.00 107182.00 40996.00 1082130432 32768 128 32
131328.00 40786.00 -301211.00 1082130432 32768 128 1
4104.00 106556.00 47354.00 1082130432 32768 128 32
131328.00 42638.00 -298019.00 1082130432 32768 128 1
4104.00 96781.00 46278.00 1082130432 32768 128 32
131328.00 41294.00 -302330.00 1082130432 32768 128 1
4104.00 104031.00 50117.00 1082130432 32768 128 32
131328.00 42828.00 -290777.00 1082130432 32768 128 1
4104.00 103189.00 42760.00 1082130432 32768 128 32
131328.00 46906.00 -284286.00 1082130432 32768 128 1
4104.00 107839.00 62471.00 1082130432 32768 128 32
131328.00 43609.00 -297217.00 1082130432 32768 128 1
4104.00 104612.00 52393.00 1082130432 32768 128 32
131328.00 42005.00 -297885.00 1082130432 32768 128 1
4104.00 112534.00 49238.00 1082130432 32768 128 32
131328.00 42786.00 -295359.00 1082130432 32768 128 1
4104.00 99903.00 47461.00 1082130432 32768 128 32
131328.00 41103.00 -296932.00 1082130432 32768 128 1
4104.00 115267.00 48804.00 1082130432 32768 128 32
131328.00 44155.00 -296332.00 1082130432 32768 128 1
4104.00 108361.00 49406.00 1082130432 32768 128 32
131328.00 42664.00 -296656.00 1082130432 32768 128 1
4104.00 99062.00 55467.00 1082130432 32768 128 32
131328.00 37548.00 -304607.00 1082130432 32768 128 1
4104.00 103394.00 43942.00 1082130432 32768 128 32
131328.00 39778.00 -292592.00 1082130432 32768 128 1
4104.00 103931.00 45588.00 1082130432 32768 128 32
131328.00 46238.00 -292095.00 1082130432 32768 128 1
4104.00 99531.00 49473.00 1082130432 32768 128 32
131328.00 42682.00 -301748.00 1082130432 32768 128 1
4104.00 104943.00 54442.00 1082130432 32768 128 32
131328.00 41542.00 -301087.00 1082130432 32768 128 1
4104.00 109662.00 56851.00 1082130432 32768 128 32
131328.00 42923.00 -296439.00 1082130432 32768 128 1
4104.00 105701.00 52741.00 1082130432 32768 128 32
131328.00 39775.00 -295286.00 1082130432 32768 128 1
4104.00 97623.00 47337.00 1082130432 32768 128 32
131328.00 47978.00 -293167.00 1082130432 32768 128 1
4104.00 109570.00 50292.00 1082130432 32768 128 32
131328.00 40857.00 -303976.00 1082130432 32768 128 1
4104.00 112592.00 50243.00 1082130432 32768 128 32
131328.00 45136.00 -299134.00 1082130432 32768 128 1
