frq I Q
131328 23.9 -0.94
4104 38.87 -25.16
131328 23.9 -1.09
4104 38.75 -25.35
131328 23.88 -0.8
4104 38.91 -25.27
131328 23.76 -1.14
131328 24.03 -1.05
4104 38.87 -25.23
131328 23.98 -1.07
4104 38.83 -25.0
4104 38.94 -25.06
131328 23.98 -0.99
131328 23.9 -1.08
4104 38.9 -25.23
4104 38.73 -25.29
131328 23.9 -1.07
131328 23.98 -0.93
4104 38.87 -25.32
131328 24.02 -1.09
4104 38.89 -25.13
131328 23.86 -1.09
4104 38.77 -25.21
131328 23.84 -0.95
4104 38.87 -25.23
131328 23.93 -0.99
4104 38.84 -25.14
4104 38.96 -25.11
4104 38.93 -25.12
131328 23.92 -0.93
131328 24.0 -1.01
131328 23.91 -1.1
4104 38.91 -25.07
131328 23.86 -1.09
4104 38.86 -25.14
131328 24.05 -1.05
4104 38.68 -25.41
131328 23.94 -1.03
4104 38.87 -25.19
131328 23.88 -1.09
4104 38.73 -25.21
4104 38.85 -25.37
131328 23.91 -1.07
131328 24.01 -1.05
4104 38.93 -25.29
4104 38.85 -25.35
131328 23.92 -1.1
131328 24.03 -0.97
4104 38.83 -25.19
131328 23.92 -1.13
4104 38.86 -25.26
131328 23.99 -1.24
4104 38.86 -25.16
4104 38.94 -25.19
131328 23.9 -1.07
4104 38.79 -25.33
131328 23.89 -1.12
131328 24.03 -1.06
4104 38.81 -25.23
131328 23.88 -1.07
4104 38.84 -25.32
131328 23.91 -1.01
4104 38.93 -25.21
131328 23.96 -1.07
4104 38.67 -25.35
4104 38.75 -25.35
131328 23.8 -1.11
131328 23.97 -1.01
4104 38.83 -25.16
4104 38.9 -25.07
131328 23.94 -1.12
131328 23.88 -0.99
4104 38.91 -25.15
131328 23.8 -1.09
131328 23.94 -1.08
4104 38.85 -25.11
4104 38.79 -25.21
131328 23.91 -0.97
131328 23.92 -0.93
4104 38.77 -25.22
131328 23.78 -1.21
4104 38.93 -25.29
131328 23.82 -1.13
4104 38.77 -25.17
4104 38.8 -25.17
131328 23.9 -1.15
4104 38.87 -25.13
131328 23.9 -1.13
131328 23.94 -1.04
4104 38.88 -25.23
4104 38.85 -25.39
131328 23.96 -1.11
4104 38.87 -25.23
131328 23.89 -0.95
131328 23.92 -1.19
4104 38.86 -25.14
131328 23.84 -1.05
4104 38.93 -25.35
131328 23.85 -1.15
4104 38.87 -25.11
4104 38.86 -25.19
131328 23.93 -1.09
131328 24.0 -1.07
4104 38.79 -25.49
131328 24.02 -1.02
4104 38.87 -25.12
131328 23.92 -1.07
4104 38.89 -25.11
131328 23.9 -1.11
4104 38.93 -25.27
131328 23.88 -1.09
4104 38.83 -25.17
4104 38.86 -25.15
131328 23.8 -1.23
4104 38.76 -25.32
131328 23.94 -1.15
131328 23.86 -1.13
4104 38.87 -25.19
4104 38.88 -25.36
131328 23.88 -1.17
4104 38.82 -25.22
131328 23.86 -1.14
4104 38.85 -25.19
131328 23.89 -1.09
131328 23.9 -1.13
4104 38.79 -25.17
131328 23.9 -1.15
4104 38.87 -25.23
131328 23.89 -1.14
4104 38.84 -25.25
131328 23.9 -1.21
4104 38.87 -25.28
4104 38.63 -25.41
4104 38.85 -25.22
131328 23.9 -1.09
131328 23.94 -1.09
131328 23.98 -1.07
4104 38.79 -25.19
131328 23.86 -1.05
4104 38.84 -25.37
4104 38.83 -25.18
4104 38.83 -25.2
131328 23.86 -1.15
131328 23.92 -1.19
131328 23.9 -1.23
4104 38.92 -25.21
4104 38.75 -25.41
131328 23.84 -1.22
131328 23.92 -1.12
4104 38.83 -25.21
131328 23.97 -1.08
131328 23.91 -1.06
4104 38.85 -25.33
131328 23.96 -1.04
4104 38.83 -25.4
131328 23.9 -1.17
4104 38.91 -25.27
4104 38.81 -25.33
131328 23.9 -1.11
4104 38.86 -25.12
131328 23.81 -1.15
131328 24.02 -1.06
4104 38.85 -25.13
4104 38.85 -25.18
131328 23.83 -1.19
131328 23.86 -1.1
4104 38.91 -25.33
131328 23.88 -1.07
4104 38.94 -25.15
131328 23.93 -1.19
4104 38.74 -25.27
131328 23.9 -1.07
4104 38.56 -25.51
4104 38.85 -25.31
131328 23.9 -1.11
131328 23.86 -1.15
4104 38.89 -25.14
131328 23.86 -1.16
4104 38.86 -25.07
131328 23.93 -1.04
4104 38.85 -25.22
4104 38.87 -25.05
131328 23.83 -1.15
4104 38.84 -25.24
131328 23.93 -1.06
4104 38.75 -25.24
131328 23.93 -1.09
4104 38.78 -25.27
131328 23.96 -1.02
4104 38.79 -25.26
4104 38.85 -25.35
131328 23.82 -1.23
131328 23.9 -1.07
4104 38.97 -25.25
131328 23.92 -1.2
131328 23.9 -1.23
4104 38.81 -25.23
4104 38.91 -25.09
131328 24.03 -1.07
131328 23.87 -1.26
4104 38.85 -25.41
131328 23.9 -1.13
4104 38.75 -25.22
4104 38.71 -25.35
4104 38.85 -25.09
131328 23.95 -1.09
131328 23.92 -1.06
4104 38.73 -25.24
131328 23.88 -1.09
4104 38.93 -25.29
131328 23.9 -1.2
131328 23.94 -1.24
4104 38.67 -25.4
131328 23.87 -1.15
4104 38.79 -25.39
131328 23.94 -1.15
4104 38.86 -25.17
131328 23.87 -1.07
4104 38.8 -25.37
131328 23.82 -1.17
4104 38.82 -25.13
4104 38.91 -25.17
131328 23.9 -1.1
4104 38.79 -25.14
131328 23.87 -1.1
131328 23.89 -1.05
4104 38.79 -25.18
131328 23.86 -1.2
4104 38.9 -25.23
4104 38.88 -25.2
131328 23.78 -1.21
131328 24.06 -1.07
4104 38.83 -25.37
131328 23.98 -1.14
4104 38.85 -25.15
4104 38.74 -25.16
131328 24.02 -1.05
131328 24.02 -1.06
4104 38.85 -25.15
4104 38.91 -25.25
131328 23.89 -1.13
131328 23.9 -0.99
4104 38.91 -25.18
4104 38.83 -25.27
131328 23.94 -1.15
131328 23.9 -1.01
4104 38.84 -25.17
131328 23.96 -1.11
4104 38.81 -25.22
131328 23.87 -1.04
4104 38.92 -25.23
131328 23.93 -1.16
4104 38.75 -25.33
4104 38.83 -25.15
131328 23.94 -1.0
4104 38.76 -25.21
131328 23.86 -1.03
4104 38.9 -25.17
131328 23.86 -1.13
131328 23.87 -1.18
4104 38.88 -25.13
131328 23.89 -1.11
4104 38.8 -25.09
131328 23.98 -1.16
4104 38.89 -25.2
4104 38.85 -25.2
131328 24.02 -1.07
4104 38.77 -25.28
131328 23.94 -1.05
131328 23.9 -1.21
4104 38.92 -25.24
131328 23.87 -1.09
4104 38.81 -25.4
4104 38.95 -25.11
131328 23.97 -1.22
4104 38.89 -25.17
131328 24.07 -1.07
131328 24.0 -1.09
4104 38.87 -25.24
4104 38.89 -25.16
131328 23.88 -1.23
131328 23.88 -1.19
4104 38.9 -25.11
4104 38.73 -25.38
131328 23.94 -1.15
131328 23.94 -1.09
4104 38.76 -25.17
4104 38.81 -25.13
131328 23.87 -1.03
131328 23.91 -1.16
4104 38.87 -25.15
131328 24.0 -1.17
4104 38.81 -25.22
131328 23.82 -1.13
4104 38.91 -25.18
4104 38.87 -25.27
131328 23.72 -1.24
4104 38.6 -25.15
131328 23.94 -1.11
4104 38.76 -25.25
131328 23.83 -1.11
4104 38.81 -25.16
131328 23.9 -1.12
4104 38.86 -25.21
131328 23.88 -1.07
131328 23.9 -1.09
4104 38.81 -25.22
131328 24.06 -1.17
4104 38.89 -25.19
131328 23.92 -1.2
4104 38.81 -25.41
131328 23.8 -1.17
4104 38.78 -25.37
131328 23.9 -1.14
4104 38.9 -25.16
4104 38.89 -25.25
131328 23.9 -1.08
131328 23.88 -1.2
4104 38.69 -25.35
4104 38.72 -24.9
131328 23.92 -1.14
4104 38.73 -25.37
4104 38.83 -25.21
131328 23.88 -1.11
131328 23.79 -1.21
4104 38.89 -25.15
131328 23.9 -1.3
4104 38.81 -25.19
131328 23.94 -1.23
131328 24.0 -1.09
4104 38.89 -25.16
4104 38.84 -25.27
4104 38.81 -25.21
131328 23.92 -1.22
131328 23.89 -1.14
4104 38.9 -25.11
131328 24.07 -1.15
4104 38.89 -25.17
4104 38.85 -25.37
131328 23.8 -1.22
131328 23.92 -1.13
131328 23.92 -1.07
4104 38.81 -25.37
4104 38.83 -25.23
131328 23.92 -1.11
131328 23.86 -1.09
4104 38.88 -25.03
131328 23.86 -1.25
4104 38.82 -25.11
4104 38.83 -25.24
131328 23.94 -1.19
4104 38.87 -25.13
131328 23.85 -1.24
131328 23.88 -1.11
4104 38.81 -25.36
4104 38.86 -25.09
131328 23.96 -1.15
4104 38.73 -25.33
131328 23.93 -1.13
131328 23.88 -1.24
4104 38.89 -25.29
4104 38.73 -25.16
131328 23.86 -1.19
131328 23.89 -1.12
4104 38.78 -25.39
4104 38.88 -25.15
131328 24.06 -1.22
131328 24.01 -1.23
