T frq I Q
19801.0 4104 37.6 -26.48
19769.0 131328 19.24 -5.02
19863.0 4104 37.54 -26.32
19925.0 4104 37.59 -26.03
19832.0 131328 19.2 -4.83
19894.0 131328 19.2 -4.98
19988.0 4104 37.63 -26.25
19957.0 131328 19.12 -4.93
20050.0 4104 37.48 -26.24
20019.0 131328 19.2 -5.01
20081.0 131328 19.12 -5.0
20113.0 4104 37.64 -26.36
20144.0 131328 19.04 -5.1
20175.0 4104 37.5 -26.18
20237.0 4104 37.58 -26.24
20206.0 131328 19.16 -4.99
20300.0 4104 37.6 -26.43
20269.0 131328 19.14 -5.03
20362.0 4104 37.59 -26.21
20331.0 131328 19.23 -4.91
20424.0 4104 37.63 -26.45
20393.0 131328 19.41 -5.02
20456.0 131328 19.11 -5.09
20487.0 4104 37.57 -26.22
20518.0 131328 19.21 -5.01
20549.0 4104 37.66 -26.37
20612.0 4104 37.62 -26.3
20674.0 4104 37.52 -26.17
20736.0 4104 37.45 -26.14
20580.0 131328 19.14 -4.93
20643.0 131328 19.19 -4.95
20705.0 131328 19.12 -5.03
20768.0 131328 19.12 -5.15
20799.0 4104 37.52 -26.14
20861.0 4104 37.49 -26.15
20830.0 131328 19.16 -5.05
20892.0 131328 19.14 -5.09
20923.0 4104 37.67 -26.36
20955.0 131328 19.08 -4.93
20986.0 4104 37.56 -26.26
21017.0 131328 19.1 -5.1
21048.0 4104 37.52 -26.15
21111.0 4104 37.64 -26.24
21079.0 131328 19.14 -5.05
21173.0 4104 37.48 -26.23
21142.0 131328 19.16 -5.07
21204.0 131328 19.21 -4.91
21235.0 4104 37.5 -26.32
21267.0 131328 19.13 -5.01
21298.0 4104 37.46 -26.21
21329.0 131328 19.12 -4.82
21360.0 4104 37.62 -26.28
21423.0 4104 37.69 -26.45
21391.0 131328 19.16 -5.06
21454.0 131328 19.07 -4.81
21485.0 4104 37.66 -26.41
21547.0 4104 37.68 -26.49
21516.0 131328 19.16 -5.01
21578.0 131328 19.14 -4.89
21610.0 4104 37.64 -26.16
21641.0 131328 19.18 -4.93
21672.0 4104 37.54 -26.46
21734.0 4104 37.54 -26.43
21703.0 131328 19.22 -4.9
21766.0 131328 19.17 -4.98
21797.0 4104 37.69 -26.17
21859.0 4104 37.59 -26.2
21922.0 4104 37.52 -26.25
21828.0 131328 19.29 -4.85
21890.0 131328 19.14 -4.97
21984.0 4104 37.56 -26.2
22046.0 4104 37.63 -26.27
21953.0 131328 19.21 -4.98
22015.0 131328 19.17 -5.04
22109.0 4104 37.46 -26.2
22171.0 4104 37.51 -26.24
22140.0 131328 19.16 -5.03
22202.0 131328 19.02 -4.89
22265.0 131328 19.18 -5.0
22296.0 4104 37.66 -26.33
22327.0 131328 19.16 -4.84
22358.0 4104 37.56 -26.45
22421.0 4104 37.52 -26.24
22389.0 131328 19.24 -4.95
22483.0 4104 37.6 -26.39
22452.0 131328 19.14 -4.93
22545.0 4104 37.59 -26.33
22514.0 131328 19.22 -4.89
22576.0 131328 19.2 -4.77
22608.0 4104 37.62 -26.31
22670.0 4104 37.42 -26.21
22639.0 131328 19.17 -5.03
22732.0 4104 37.62 -26.37
22701.0 131328 19.12 -4.93
22764.0 131328 19.23 -4.99
22795.0 4104 37.49 -26.17
22826.0 131328 19.19 -4.91
22857.0 4104 37.51 -26.11
