frq I Q Mdiv Ref dac Kdiv
4104.00 6514.00 4170.00 1082130432 32768 128 32
131328.00 195.00 -17732.00 1082130432 32768 128 1
4104.00 7128.00 5087.00 1082130432 32768 128 32
131328.00 1510.00 -17462.00 1082130432 32768 128 1
4104.00 5509.00 8391.00 1082130432 32768 128 32
131328.00 744.00 -17428.00 1082130432 32768 128 1
4104.00 7655.00 6869.00 1082130432 32768 128 32
131328.00 -68.00 -18393.00 1082130432 32768 128 1
4104.00 5647.00 4178.00 1082130432 32768 128 32
131328.00 -1109.00 -16886.00 1082130432 32768 128 1
4104.00 5862.00 8429.00 1082130432 32768 128 32
131328.00 1176.00 -17841.00 1082130432 32768 128 1
4104.00 5446.00 4645.00 1082130432 32768 128 32
131328.00 -1184.00 -16253.00 1082130432 32768 128 1
4104.00 6377.00 3963.00 1082130432 32768 128 32
131328.00 -166.00 -17689.00 1082130432 32768 128 1
4104.00 6239.00 4228.00 1082130432 32768 128 32
131328.00 -258.00 -17761.00 1082130432 32768 128 1
4104.00 4719.00 7058.00 1082130432 32768 128 32
131328.00 -587.00 -16544.00 1082130432 32768 128 1
4104.00 4976.00 8608.00 1082130432 32768 128 32
131328.00 142.00 -16468.00 1082130432 32768 128 1
4104.00 4644.00 4758.00 1082130432 32768 128 32
131328.00 -934.00 -16761.00 1082130432 32768 128 1
4104.00 2668.00 4790.00 1082130432 32768 128 32
131328.00 -773.00 -15862.00 1082130432 32768 128 1
4104.00 6722.00 8344.00 1082130432 32768 128 32
131328.00 341.00 -17659.00 1082130432 32768 128 1
4104.00 7137.00 6444.00 1082130432 32768 128 32
131328.00 -1410.00 -16680.00 1082130432 32768 128 1
4104.00 5957.00 4438.00 1082130432 32768 128 32
131328.00 -590.00 -17738.00 1082130432 32768 128 1
4104.00 4727.00 9280.00 1082130432 32768 128 32
131328.00 930.00 -16803.00 1082130432 32768 128 1
4104.00 7483.00 5533.00 1082130432 32768 128 32
131328.00 -372.00 -16143.00 1082130432 32768 128 1
4104.00 5639.00 7593.00 1082130432 32768 128 32
131328.00 493.00 -16623.00 1082130432 32768 128 1
4104.00 7846.00 5672.00 1082130432 32768 128 32
131328.00 -842.00 -16103.00 1082130432 32768 128 1
4104.00 3568.00 6404.00 1082130432 32768 128 32
131328.00 -465.00 -16597.00 1082130432 32768 128 1
4104.00 6718.00 4485.00 1082130432 32768 128 32
131328.00 -96.00 -16542.00 1082130432 32768 128 1
4104.00 6643.00 5933.00 1082130432 32768 128 32
131328.00 -1661.00 -16500.00 1082130432 32768 128 1
4104.00 6339.00 5375.00 1082130432 32768 128 32
131328.00 -952.00 -16478.00 1082130432 32768 128 1
4104.00 5113.00 4703.00 1082130432 32768 128 32
131328.00 -658.00 -16391.00 1082130432 32768 128 1
4104.00 6193.00 5519.00 1082130432 32768 128 32
131328.00 -962.00 -17242.00 1082130432 32768 128 1
4104.00 4661.00 4178.00 1082130432 32768 128 32
131328.00 -1091.00 -16398.00 1082130432 32768 128 1
4104.00 7144.00 5210.00 1082130432 32768 128 32
131328.00 -1021.00 -16220.00 1082130432 32768 128 1
4104.00 6516.00 5575.00 1082130432 32768 128 32
131328.00 471.00 -16732.00 1082130432 32768 128 1
