frq,I,Q,Mdiv,Ref,dac,Kdiv,I_offset,Q_offset,Z_real,Z_imag,Z_mag,Z_angle
4104.0,5348.0,4782.0,1082130432,32768,128,32,6222.231292517006,4739.319727891157,134.25080176790618,-33.30617932147578,138.32056736552212,-13.933158636762341
4104.0,6021.0,4338.0,1082130432,32768,128,32,6895.231292517006,4295.319727891157,135.61538838573588,-47.440484887012396,143.67370383382215,-19.280673409540007
4104.0,6639.0,5582.0,1082130432,32768,128,32,7513.231292517006,5539.319727891157,159.5841991215093,-42.23492200211123,165.0784820798215,-14.823811117060053
4104.0,4653.0,7458.0,1082130432,32768,128,32,5527.231292517006,7415.319727891157,163.3383024968408,5.703859886526459,163.43786305551905,1.999986222686541
4104.0,5638.0,6716.0,1082130432,32768,128,32,6512.231292517006,6673.319727891157,164.06799804734246,-15.99773604879195,164.84609653234008,-5.569119760380205
4104.0,3766.0,7330.0,1082130432,32768,128,32,4640.231292517006,7287.319727891157,151.73152809769107,16.48070486470298,152.62395045240396,6.19902445530179
4104.0,5131.0,4187.0,1082130432,32768,128,32,6005.231292517006,4144.319727891157,123.65899660454093,-36.875645720794104,129.04015145902218,-16.60480730178027
4104.0,7316.0,4916.0,1082130432,32768,128,32,8190.231292517006,4873.319727891157,157.94006184099737,-58.86831873641066,168.55427044483244,-20.4417170026033
4104.0,6425.0,6942.0,1082130432,32768,128,32,7299.231292517006,6899.319727891157,175.9124689170146,-24.32178453015389,177.58588323177847,-7.871849373090893
4104.0,7479.0,4944.0,1082130432,32768,128,32,8353.231292517006,4901.319727891157,160.13457192814167,-60.79942978001953,171.2882126364354,-20.790622866830436
4104.0,6234.0,4710.0,1082130432,32768,128,32,7108.231292517006,4667.319727891157,143.09591039688002,-46.271211033422055,150.3910387716349,-17.919030052904663
4104.0,2971.0,7419.0,1082130432,32768,128,32,3845.2312925170068,7376.319727891157,144.13039062128064,28.382693887704463,146.89842345296316,11.140354395216844
4104.0,6002.0,5823.0,1082130432,32768,128,32,6876.231292517006,5780.319727891157,155.8274179933469,-30.8301577026063,158.84798652309328,-11.19133057240186
4104.0,7588.0,7507.0,1082130432,32768,128,32,8462.231292517006,7464.319727891157,196.59304957017892,-34.079257407341004,199.5249932332755,-9.834449237281168
